aspect,id,sentiment,target,text
nightlife,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
transit-location,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
price,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
live,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
quiet,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
shopping,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
touristy,901.0,Positive,LOCATION1,"The area around the LOCATION1 is relatively cheap and has good access to the motorways , not much night-life though"
price,902.0,Positive,LOCATION1,LOCATION1 can be cheap both for accomodation and work
shopping,902.0,Positive,LOCATION1,LOCATION1 can be cheap both for accomodation and work
price,903.0,Negative,LOCATION1,"LOCATION1 is one of the nicer areas and has good access by the underground into central London , it 's mostly occupied by commuters so it 's even more expensive"
transit-location,903.0,Positive,LOCATION1,"LOCATION1 is one of the nicer areas and has good access by the underground into central London , it 's mostly occupied by commuters so it 's even more expensive"
general,903.0,Positive,LOCATION1,"LOCATION1 is one of the nicer areas and has good access by the underground into central London , it 's mostly occupied by commuters so it 's even more expensive"
shopping,903.0,Positive,LOCATION1,"LOCATION1 is one of the nicer areas and has good access by the underground into central London , it 's mostly occupied by commuters so it 's even more expensive"
touristy,903.0,Positive,LOCATION1,"LOCATION1 is one of the nicer areas and has good access by the underground into central London , it 's mostly occupied by commuters so it 's even more expensive"
transit-location,907.0,Positive,LOCATION1,"LOCATION1 is very leafy , with a wonderful park and woodlands , as well as being within walking distance of Hampstead Heath"
general,909.0,Negative,LOCATION1,"And LOCATION1 is no better , you 'll be paying higher rent rates , and have just as many housing estates on your door step"
price,909.0,Negative,LOCATION1,"And LOCATION1 is no better , you 'll be paying higher rent rates , and have just as many housing estates on your door step"
transit-location,910.0,Negative,LOCATION1,The cheapest place I know of is LOCATION1 ( a bit too far
price,910.0,Positive,LOCATION1,The cheapest place I know of is LOCATION1 ( a bit too far
shopping,910.0,Positive,LOCATION1,The cheapest place I know of is LOCATION1 ( a bit too far
touristy,910.0,Positive,LOCATION1,The cheapest place I know of is LOCATION1 ( a bit too far
multicultural,913.0,Negative,LOCATION1,"LOCATION1 is incredibly ethnically diverse and no matter where you move , you 're going to find lots of people with a different ethnic background to you"
price,914.0,Negative,LOCATION1,LOCATION1 is quite an expensive area
shopping,914.0,Negative,LOCATION1,LOCATION1 is quite an expensive area
safety,916.0,Positive,LOCATION1,LOCATION1 is the safest place in London to live in
general,918.0,Positive,LOCATION1,LOCATION1 is the nicest borough in SE London
safety,920.0,Positive,LOCATION1,"my dad has a house in LOCATION1 , and that place is safe : )"
price,925.0,Negative,LOCATION1,"Everything is expensive in LOCATION1 including the famous department store there , Harrods , rents , shops , restaurants"
price,928.0,Positive,LOCATION1,"You can find reasonably affordable accomodation in the LOCATION1 , area which is in close proximity to the London centre"
transit-location,928.0,Positive,LOCATION1,"You can find reasonably affordable accomodation in the LOCATION1 , area which is in close proximity to the London centre"
shopping,928.0,Positive,LOCATION1,"You can find reasonably affordable accomodation in the LOCATION1 , area which is in close proximity to the London centre"
safety,932.0,Negative,LOCATION1,There is also the history of course because LOCATION1 was notorious for the Jack The Ripper murders in the 1880s and the infamous Kray twins in the 1960s
quiet,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
safety,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
transit-location,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
price,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
shopping,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
touristy,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
safety,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
price,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
transit-location,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
quiet,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
shopping,933.0,Positive,LOCATION1,"You could look at somewhere like LOCATION1 which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central"
general,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
shopping,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
live,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
transit-location,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
quiet,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
touristy,935.0,Positive,LOCATION1,"I would recommend LOCATION1 because it is 24 hours alive , nice shops and restaurants and ppl never get bored in LOCATION1"
safety,936.0,Negative,LOCATION1,"Heading towards LOCATION1 can get a little bit rougher , there are n't really any rough areas near LOCATION2 , just loads and loads of tourists"
safety,936.0,Negative,LOCATION1,"Heading towards LOCATION1 can get a little bit rougher , there are n't really any rough areas near LOCATION2 , just loads and loads of tourists"
general,937.0,Positive,LOCATION1,"From journeys through LOCATION1 over the years ( but without knowing it in great detail admittedly ) , I can advise you that at least half of the area is attractive , respectable , green and vibrant , which is what you are aiming for"
green-nature,937.0,Positive,LOCATION1,"From journeys through LOCATION1 over the years ( but without knowing it in great detail admittedly ) , I can advise you that at least half of the area is attractive , respectable , green and vibrant , which is what you are aiming for"
safety,941.0,Negative,LOCATION1,"beware as the Lock tends to act as the focal point for LOCATION1 's drug dealing , especially at night"
general,943.0,Positive,LOCATION1,One paid for attraction that really deserves a mention is LOCATION1 which for me is the most beautiful place in London
price,943.0,Negative,LOCATION1,One paid for attraction that really deserves a mention is LOCATION1 which for me is the most beautiful place in London
touristy,943.0,Positive,LOCATION1,One paid for attraction that really deserves a mention is LOCATION1 which for me is the most beautiful place in London
general,945.0,Positive,LOCATION1,Look at LOCATION1 and LOCATION2
general,945.0,Positive,LOCATION1,Look at LOCATION1 and LOCATION2
transit-location,946.0,Positive,LOCATION1,But if a more central location is important to you I would go with LOCATION1
general,947.0,Positive,LOCATION1,LOCATION1 is a nice quiet area but is expensive
quiet,947.0,Positive,LOCATION1,LOCATION1 is a nice quiet area but is expensive
price,947.0,Negative,LOCATION1,LOCATION1 is a nice quiet area but is expensive
price,948.0,Negative,LOCATION1,Some of the areas the other poster has mentioned - LOCATION1 etc are astronomincally expensive
general,949.0,Positive,LOCATION1,I love LOCATION1 area which is angel tube station
transit-location,949.0,Positive,LOCATION1,I love LOCATION1 area which is angel tube station
general,950.0,Positive,LOCATION1,I really like LOCATION1
safety,953.0,Negative,LOCATION1,The highest crime rate for any area in the UK is LOCATION1 in central London
general,954.0,Positive,LOCATION1,"I live in LOCATION1 btw , which is also really beautiful , residential"
safety,955.0,Positive,LOCATION1,"Oh for gods sake , LOCATION1 is n't that dangerous or bad"
general,955.0,Positive,LOCATION1,"Oh for gods sake , LOCATION1 is n't that dangerous or bad"
general,956.0,Negative,LOCATION1,"LOCATION1 is a suburb of LOCATION2 really , but its terrible"
general,956.0,Negative,LOCATION1,"LOCATION1 is a suburb of LOCATION2 really , but its terrible"
transit-location,958.0,Negative,LOCATION1,"Most students of all backgrounds live all over the place : LOCATION1 is a bit grubby , but it 's a big hub for students and young people because of its proximity to Goldsmiths University"
general,959.0,Positive,LOCATION1,LOCATION1 is more better
transit-location,963.0,Positive,LOCATION1,you could opt for lower end of LOCATION1 which has buses to LOCATION1 and the overground
shopping,965.0,Positive,LOCATION1,"For shopping , LOCATION1 is only a 10 minute bus ride away"
transit-location,965.0,Positive,LOCATION1,"For shopping , LOCATION1 is only a 10 minute bus ride away"
general,966.0,Positive,LOCATION1,LOCATION1 is a good area - Redbridge
general,972.0,Positive,LOCATION1,for a map look at used to live in LOCATION1 ( which borders LOCATION2 - you 'll be very near ) which is a really cool area
general,972.0,Positive,LOCATION1,for a map look at used to live in LOCATION1 ( which borders LOCATION2 - you 'll be very near ) which is a really cool area
transit-location,973.0,Positive,LOCATION1,"LOCATION1 has good connections into town ( Metropolitan line , 30 mins ) and it still feels like the village"
safety,974.0,Negative,LOCATION1,NB LOCATION1 has a bad reputation for crime
transit-location,975.0,Positive,LOCATION1,"LOCATION1 has great transport links , train to LOCATION2"
price,978.0,Positive,LOCATION1,the absolute cheapest area is LOCATION1 ( DA18 )
shopping,978.0,Positive,LOCATION1,the absolute cheapest area is LOCATION1 ( DA18 )
touristy,978.0,Positive,LOCATION1,the absolute cheapest area is LOCATION1 ( DA18 )
transit-location,981.0,Negative,LOCATION1,There is NO good/fast access to LOCATION1
shopping,982.0,Positive,LOCATION1,"LOCATION1 , a total melting pot of cultures and home to many artistic and music and media groups , a wide range of shopping areas"
general,985.0,Positive,LOCATION1,LOCATION1 is a great area and generally NOT a cheap one now
price,985.0,Negative,LOCATION1,LOCATION1 is a great area and generally NOT a cheap one now
shopping,985.0,Negative,LOCATION1,LOCATION1 is a great area and generally NOT a cheap one now
touristy,985.0,Negative,LOCATION1,LOCATION1 is a great area and generally NOT a cheap one now
general,986.0,Positive,LOCATION1,LOCATION1 is the best of the places you mention
price,988.0,Positive,LOCATION1,"Otherwise outside London , somewhere like LOCATION1 would probably be a bit cheaper"
shopping,988.0,Positive,LOCATION1,"Otherwise outside London , somewhere like LOCATION1 would probably be a bit cheaper"
general,990.0,Positive,LOCATION1,"LOCATION1 , LOCATION2 still good but less leafy I swear prices go up to millions in central London"
price,990.0,Negative,LOCATION1,"LOCATION1 , LOCATION2 still good but less leafy I swear prices go up to millions in central London"
general,990.0,Positive,LOCATION1,"LOCATION1 , LOCATION2 still good but less leafy I swear prices go up to millions in central London"
price,990.0,Negative,LOCATION1,"LOCATION1 , LOCATION2 still good but less leafy I swear prices go up to millions in central London"
quiet,995.0,Positive,LOCATION1,LOCATION1 is a quiet backwater
general,996.0,Positive,LOCATION1,"Nice , suburban and not too fast-paced LOCATION1 area is a nice place to live"
transit-location,998.0,Negative,LOCATION1,I was about equidistant from LOCATION1 and LOCATION2 tube stations on the Northern Line
transit-location,998.0,Negative,LOCATION1,I was about equidistant from LOCATION1 and LOCATION2 tube stations on the Northern Line
general,1000.0,Positive,LOCATION1,LOCATION1 actually has quite a cool feel to it~
live,1002.0,Positive,LOCATION1,LOCATION1 is a nice place to live
general,1005.0,Positive,LOCATION1,I live in LOCATION1 and i like the area with always something to do if you want to and also provides real calm places when you want it
quiet,1005.0,Positive,LOCATION1,I live in LOCATION1 and i like the area with always something to do if you want to and also provides real calm places when you want it
green-nature,1005.0,Positive,LOCATION1,I live in LOCATION1 and i like the area with always something to do if you want to and also provides real calm places when you want it
general,1007.0,Positive,LOCATION1,"LOCATION1 is considered one of the best areas of London , but with that salary you can afford it"
price,1007.0,Negative,LOCATION1,"LOCATION1 is considered one of the best areas of London , but with that salary you can afford it"
safety,1010.0,Negative,LOCATION1,LOCATION1 is rough and quite nasty - I would not like to walk round there at night
general,1010.0,Negative,LOCATION1,LOCATION1 is rough and quite nasty - I would not like to walk round there at night
general,1017.0,Positive,LOCATION1,"LOCATION1 is a decent area , you can tell if the area has gangs in it or not by looking at walls in alleyways to see if there are tags on them"
general,1018.0,Positive,LOCATION1,LOCATION1 is the place for you
safety,1020.0,Negative,LOCATION1,LOCATION1 is full of gangs
general,1021.0,Positive,LOCATION1,It is a LOVELY place LOCATION1
general,1022.0,Negative,LOCATION1,I would n't recommend LOCATION1 at all
green-nature,1024.0,Positive,LOCATION1,"For green spaces LOCATION1 is brilliant - parks , the River Thames towpath , LOCATION1 National Nature Reserve"
general,1024.0,Positive,LOCATION1,"For green spaces LOCATION1 is brilliant - parks , the River Thames towpath , LOCATION1 National Nature Reserve"
general,1025.0,Positive,LOCATION1,I would choose something in LOCATION1
safety,1027.0,Negative,LOCATION1,woohhh i live in LOCATION1 and no i do n't go around roobing/shooting people
price,1032.0,Negative,LOCATION1,"LOCATION1 is an enormous area with all sorts of areas within it , some very luxurious and expensive"
transit-location,1033.0,Positive,LOCATION1,"LOCATION1 feels very much a part of London and it 's only zone 3 , so transport costs are lower"
price,1033.0,Positive,LOCATION1,"LOCATION1 feels very much a part of London and it 's only zone 3 , so transport costs are lower"
shopping,1033.0,Positive,LOCATION1,"LOCATION1 feels very much a part of London and it 's only zone 3 , so transport costs are lower"
touristy,1033.0,Positive,LOCATION1,"LOCATION1 feels very much a part of London and it 's only zone 3 , so transport costs are lower"
safety,1035.0,Negative,LOCATION1,LOCATION1 is a notoriously rough area
general,1036.0,Positive,LOCATION1,I love LOCATION1 fully
safety,1037.0,Negative,LOCATION1,"However , I can assure you there are some areas in LOCATION1 that are pretty rough"
transit-location,1038.0,Positive,LOCATION1,LOCATION1 's close to LOCATION2 too making it easy to get in and out of the London
general,1040.0,Positive,LOCATION1,"Loads of eating places in and around LOCATION1 , the White Horse is quite good and they serve a good London Pride"
general,1041.0,Positive,LOCATION1,the best are of London is south west u hav places like LOCATION1 which is relly nice
general,1042.0,Positive,LOCATION1,"if you 're gon na live here , I live in LOCATION1 and it 's lovely , very safe , very lively close to everything"
safety,1042.0,Positive,LOCATION1,"if you 're gon na live here , I live in LOCATION1 and it 's lovely , very safe , very lively close to everything"
quiet,1042.0,Positive,LOCATION1,"if you 're gon na live here , I live in LOCATION1 and it 's lovely , very safe , very lively close to everything"
touristy,1042.0,Positive,LOCATION1,"if you 're gon na live here , I live in LOCATION1 and it 's lovely , very safe , very lively close to everything"
transit-location,1043.0,Positive,LOCATION1,LOCATION1 is not in or near LOCATION2 Whichever of London 's airports gives you the lowest air fare
general,1045.0,Positive,LOCATION1,"LOCATION1 can be a nice area - near the cemetery is good , but maybe too expensive for you"
price,1045.0,Negative,LOCATION1,"LOCATION1 can be a nice area - near the cemetery is good , but maybe too expensive for you"
general,1047.0,Positive,LOCATION1,We have been reaserching neighborhoods and so far LOCATION1 seems to be the best choice for us
safety,1048.0,Negative,LOCATION1,"It is in the London borough of LOCATION2 though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 , and they 're the arty/graphic designer/posh type"
safety,1048.0,Negative,LOCATION1,"It is in the London borough of LOCATION2 though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 , and they 're the arty/graphic designer/posh type"
transit-location,1049.0,Positive,LOCATION1,It is also much easier to travel to LOCATION1
nightlife,1050.0,Positive,LOCATION1,LOCATION1 is similar but with a few more independent bars and smaller clubs
general,1053.0,Positive,LOCATION1,"LOCATION1 is quite nice ( very diverse though ) , but there are about 6 parks in the area , lots of things to do and has low crime rate"
safety,1053.0,Positive,LOCATION1,"LOCATION1 is quite nice ( very diverse though ) , but there are about 6 parks in the area , lots of things to do and has low crime rate"
general,1054.0,Negative,LOCATION1,"Although truly , any where except LOCATION1 will do"
general,1059.0,Positive,LOCATION1,LOCATION1 is n't such a big town but there 's quite a lot to explore and in general it 's a nice place to settle down in
safety,1061.0,Negative,LOCATION1,"Just be careful of LOCATION1 , it can be scary there especially when traveling there at night alone"
transit-location,1064.0,Positive,LOCATION1,You are so close to the London and central London and LOCATION1 have some great services and activites
shopping,1065.0,Negative,LOCATION1,"I live not far from LOCATION1 , and apart from it becoming very busy due to the new shopping centre , it is like any other `` normal '' place in London"
safety,1068.0,Positive,LOCATION1,Yes there are safe parts of LOCATION2 but far fewer than say LOCATION1
safety,1068.0,Positive,LOCATION1,Yes there are safe parts of LOCATION2 but far fewer than say LOCATION1
price,1069.0,Positive,LOCATION1,"LOCATION1 is pretty safe and family oriented , in the west of London and not as expensive as central London"
safety,1069.0,Positive,LOCATION1,"LOCATION1 is pretty safe and family oriented , in the west of London and not as expensive as central London"
transit-location,1069.0,Positive,LOCATION1,"LOCATION1 is pretty safe and family oriented , in the west of London and not as expensive as central London"
shopping,1069.0,Positive,LOCATION1,"LOCATION1 is pretty safe and family oriented , in the west of London and not as expensive as central London"
touristy,1069.0,Positive,LOCATION1,"LOCATION1 is pretty safe and family oriented , in the west of London and not as expensive as central London"
transit-location,1071.0,Positive,LOCATION1,LOCATION1 is inexpensive and has tube stations too
price,1071.0,Positive,LOCATION1,LOCATION1 is inexpensive and has tube stations too
shopping,1071.0,Positive,LOCATION1,LOCATION1 is inexpensive and has tube stations too
touristy,1071.0,Positive,LOCATION1,LOCATION1 is inexpensive and has tube stations too
transit-location,1073.0,Negative,LOCATION1,LOCATION1 also has it 's share but there 's no tube there so you 'd have to get the bus
general,1074.0,Negative,LOCATION1,"However , I would say the very worst area is LOCATION1"
general,1075.0,Positive,LOCATION1,I would think ( but do n't know ) that LOCATION1 is fine
general,1077.0,Positive,LOCATION1,LOCATION1 is really nice if you can afford it
price,1077.0,Negative,LOCATION1,LOCATION1 is really nice if you can afford it
shopping,1077.0,Negative,LOCATION1,LOCATION1 is really nice if you can afford it
general,1081.0,Positive,LOCATION1,"LOCATION1 has it 's good places , but they are expensive"
price,1081.0,Negative,LOCATION1,"LOCATION1 has it 's good places , but they are expensive"
shopping,1081.0,Negative,LOCATION1,"LOCATION1 has it 's good places , but they are expensive"
general,1082.0,Positive,LOCATION1,"LOCATION1 is a nice , safe area , lots of lovely families there"
safety,1082.0,Positive,LOCATION1,"LOCATION1 is a nice , safe area , lots of lovely families there"
general,1083.0,Positive,LOCATION1,LOCATION1 is a great little spot of countryside
transit-location,1085.0,Positive,LOCATION1,Of course getting anywhere in London from LOCATION1 is so easy that it really makes it a smart place to stay
nightlife,1086.0,Positive,LOCATION1,LOCATION1 is nice good nightlife lots and lots of restaurants of all kinds bars etc anyway i hope this helps look on google earth for LOCATION1 etc good luck
safety,1087.0,Positive,LOCATION1,"I have never had a problem in LOCATION1 , even waiting for a night bus at 2am in the morning"
transit-location,1087.0,Positive,LOCATION1,"I have never had a problem in LOCATION1 , even waiting for a night bus at 2am in the morning"
transit-location,1088.0,Positive,LOCATION1,"LOCATION1 seems to be more your kettle of fish , although it is n't directly on the train line"
general,1089.0,Negative,LOCATION1,Dont Try LOCATION1
transit-location,1090.0,Positive,LOCATION1,"LOCATION1 has a Waitrose , Pizza Express and its own tube station"
general,1093.0,Negative,LOCATION1,I think the whole of LOCATION1 is best avoided to be honest
general,1094.0,Negative,LOCATION1,Stay away from LOCATION1
general,1096.0,Positive,LOCATION1,"Other areas include : LOCATION1 - nice neighbourhood , good shops , good for families"
shopping,1096.0,Positive,LOCATION1,"Other areas include : LOCATION1 - nice neighbourhood , good shops , good for families"
general,1099.0,Positive,LOCATION1,LOCATION1 is also a beautiful location
transit-location,1101.0,Positive,LOCATION1,LOCATION1 area is cheaper to live and ypu can commute from there
price,1101.0,Positive,LOCATION1,LOCATION1 area is cheaper to live and ypu can commute from there
live,1101.0,Positive,LOCATION1,LOCATION1 area is cheaper to live and ypu can commute from there
shopping,1101.0,Positive,LOCATION1,LOCATION1 area is cheaper to live and ypu can commute from there
touristy,1101.0,Positive,LOCATION1,LOCATION1 area is cheaper to live and ypu can commute from there
safety,1103.0,Positive,LOCATION1,I live in LOCATION1 and find it fairly safe ( you obviously need to be a bit careful as you would anywhere )
general,1107.0,Positive,LOCATION1,Just exercise the same caution as you would do at home LOCATION1 is half gentrified and upmarket and the other half is full of bars and restaurants V safe
general,1109.0,Positive,LOCATION1,have u tried LOCATION1
live,1110.0,Positive,LOCATION1,"LOCATION1 is the best area to live , very scenic"
touristy,1110.0,Positive,LOCATION1,"LOCATION1 is the best area to live , very scenic"
general,1113.0,Positive,LOCATION1,"Parts of LOCATION1 , particularly around the Common have become quite upmarket"
general,1114.0,Negative,LOCATION1,"Yeah it is , just stay away from LOCATION1"
general,1121.0,Positive,LOCATION1,In comes LOCATION1
transit-location,1122.0,Positive,LOCATION1,LOCATION1 is great for getting into the London
touristy,1122.0,Positive,LOCATION1,LOCATION1 is great for getting into the London
general,1123.0,Positive,LOCATION1,"or try LOCATION1 , has some querky little streets , again make sure they are well lit and be aware if it 's dark and you ; re on your own"
quiet,1123.0,Positive,LOCATION1,"or try LOCATION1 , has some querky little streets , again make sure they are well lit and be aware if it 's dark and you ; re on your own"
price,1124.0,Negative,LOCATION1,"it 's a bit expensive round LOCATION1 , but there are a few places round there , but mainly hotels"
touristy,1124.0,Negative,LOCATION1,"it 's a bit expensive round LOCATION1 , but there are a few places round there , but mainly hotels"
general,1125.0,Negative,LOCATION1,I lived in al LOCATION1 and it was filthy and overcrowded
general,1129.0,Negative,LOCATION1,"Id stay away from LOCATION1 , pretty rough"
safety,1129.0,Negative,LOCATION1,"Id stay away from LOCATION1 , pretty rough"
general,1130.0,Positive,LOCATION1,All the neighborhoods around LOCATION1 are very nice and safe
safety,1130.0,Positive,LOCATION1,All the neighborhoods around LOCATION1 are very nice and safe
transit-location,1131.0,Positive,LOCATION1,LOCATION1 is also close to the A12 and M11 and A406 if you want to get out of London quickly on the weekend
safety,1133.0,Positive,LOCATION1,"LOCATION1 is a safe , residential and for the most part , a middle class area"
quiet,1134.0,Positive,LOCATION1,"i would recommend a place with lots of green , like LOCATION1 , its very quiet"
green-nature,1134.0,Positive,LOCATION1,"i would recommend a place with lots of green , like LOCATION1 , its very quiet"
general,1134.0,Positive,LOCATION1,"i would recommend a place with lots of green , like LOCATION1 , its very quiet"
general,1135.0,Negative,LOCATION1,Im not a fan of LOCATION1 at all
price,1138.0,Negative,LOCATION1,"LOCATION1 mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable"
general,1138.0,Negative,LOCATION1,"LOCATION1 mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable"
safety,1140.0,Negative,LOCATION1,"You live where you can afford LOCATION1 has a higher crime rate than many other areas of London , but Maxi says do n't walk alone anywhere in the uk That is nonsense I have walked everywhere in the uk"
price,1140.0,Negative,LOCATION1,"You live where you can afford LOCATION1 has a higher crime rate than many other areas of London , but Maxi says do n't walk alone anywhere in the uk That is nonsense I have walked everywhere in the uk"
general,1142.0,Negative,LOCATION1,LOCATION1 is a complete dump
general,1147.0,Positive,LOCATION1,LOCATION1 is lovely but it does suffer from aircraft noise a bit
quiet,1147.0,Negative,LOCATION1,LOCATION1 is lovely but it does suffer from aircraft noise a bit
general,1148.0,Negative,LOCATION1,"LOCATION1 , tend towards being less cool , more touristy"
touristy,1148.0,Negative,LOCATION1,"LOCATION1 , tend towards being less cool , more touristy"
general,1149.0,Positive,LOCATION1,"I actually think that LOCATION1 aint too bad of a place , I love shopping there"
shopping,1149.0,Positive,LOCATION1,"I actually think that LOCATION1 aint too bad of a place , I love shopping there"
general,1151.0,Positive,LOCATION1,"LOCATION1 ai n't bad , actually"
general,1152.0,Positive,LOCATION1,try somewhere in LOCATION1
safety,1153.0,Negative,LOCATION1,"Reading , Goring , Pangbourne , Caversham , LOCATION1 and Windsor are most under threat at the moment"
general,1154.0,Positive,LOCATION1,Still I 'd go with LOCATION1
general,1160.0,Positive,LOCATION1,LOCATION1 is meant to be fairly affordable and has good areas
price,1160.0,Positive,LOCATION1,LOCATION1 is meant to be fairly affordable and has good areas
shopping,1160.0,Positive,LOCATION1,LOCATION1 is meant to be fairly affordable and has good areas
touristy,1160.0,Positive,LOCATION1,LOCATION1 is meant to be fairly affordable and has good areas
general,1161.0,Positive,LOCATION1,I would suggest LOCATION1 its only 15 minutes away on the train and the north circular is only 15 minute drive down
transit-location,1161.0,Positive,LOCATION1,I would suggest LOCATION1 its only 15 minutes away on the train and the north circular is only 15 minute drive down
general,1162.0,Negative,LOCATION1,stay away from LOCATION1
safety,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
price,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
shopping,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
safety,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
price,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
shopping,1163.0,Positive,LOCATION1,"I can answer the safe affordable place to live part - try LOCATION1 , LOCATION2 , and surrounding areas"
general,1165.0,Negative,LOCATION1,"LOCATION1 North , SE1.not really its ok though"
general,1168.0,Negative,LOCATION1,Anyway I know where LOCATION1 is and so on but I 've never liked it
general,1171.0,Positive,LOCATION1,LOCATION1 might be good for you as it has no tube or rail so the prices are lower
price,1171.0,Positive,LOCATION1,LOCATION1 might be good for you as it has no tube or rail so the prices are lower
transit-location,1171.0,Negative,LOCATION1,LOCATION1 might be good for you as it has no tube or rail so the prices are lower
shopping,1171.0,Positive,LOCATION1,LOCATION1 might be good for you as it has no tube or rail so the prices are lower
touristy,1171.0,Positive,LOCATION1,LOCATION1 might be good for you as it has no tube or rail so the prices are lower
general,1173.0,Positive,LOCATION1,LOCATION1 is ok but aint that expensive well I dunno if your rich or not
price,1173.0,Positive,LOCATION1,LOCATION1 is ok but aint that expensive well I dunno if your rich or not
general,1174.0,Positive,LOCATION1,LOCATION1 would be a great location
general,1175.0,Positive,LOCATION1,"I think LOCATION1 is better but then I 'm prejudiced I am originally from London , I grew up in LOCATION1"
general,1179.0,Negative,LOCATION1,"London is not as bad as you think and I live in one of the worst parts , LOCATION1"
general,1184.0,Positive,LOCATION1,theres nothing wrong with LOCATION1
general,1185.0,Negative,LOCATION1,LOCATION1 is not that nice but is relatively safe
safety,1185.0,Positive,LOCATION1,LOCATION1 is not that nice but is relatively safe
safety,1186.0,Positive,LOCATION1,LOCATION1 has hostels and is a safe area
general,1189.0,Positive,LOCATION1,I always travel through LOCATION1 and it does look quite interesting but the fact that Ive seen way too many police cars and tape in the high street has made me think twice about visiting
general,1193.0,Positive,LOCATION1,"LOCATION1 is great , too"
general,1194.0,Negative,LOCATION1,"LOCATION1 is a rather bland , non-descript place"
touristy,1202.0,Positive,LOCATION1,LOCATION1 certainly is indundated with tourists
general,1203.0,Positive,LOCATION1,I would recommend LOCATION1 over LOCATION1
price,1205.0,Negative,LOCATION1,I would say the most expensive part of London to live is LOCATION1
safety,1206.0,Negative,LOCATION1,Just avoid LOCATION1 and LOCATION2 unless you want to just go home and stay at home each evening ( some parts are rough
safety,1206.0,Negative,LOCATION1,Just avoid LOCATION1 and LOCATION2 unless you want to just go home and stay at home each evening ( some parts are rough
